name,orf,desc,introns,status,sgd,extra,chr_loc,start,stop,orf_start,orf_stop
FUN26,YAL022C,"High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member",[],Verified ORF,S000000020,reverse complement,1,110430,108877,110446,108835
PMT2,YAL023C,"Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication",[],Verified ORF,S000000021,reverse complement,1,108551,106272,108640,106157
LTE1,YAL024C,Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures,[],Verified ORF,S000000022,reverse complement,1,105872,101565,105986,101482
MAK16,YAL025C,Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus,[],Verified ORF,S000000023,reverse complement,1,101145,100225,101168,100024
DRS2,YAL026C,"Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease",[],Verified ORF,S000000024,reverse complement,1,99697,95630,99783,95490
SAW1,YAL027W,5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus,[],Verified ORF,S000000025,[],1,94687,95472,94606,95542
FRT2,YAL028W,"Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication",[],Verified ORF,S000000026,[],1,92900,94486,92836,94529
MYO4,YAL029C,"Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication",[],Verified ORF,S000000027,reverse complement,1,92270,87855,92522,87794
SNC1,YAL030W,"Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication",[87387 87501],Verified ORF,S000000028,intron sequence removed,1,87286,87752,87264,87867
GIP4,YAL031C,Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate,[],Verified ORF,S000000029,reverse complement,1,87031,84749,87078,84664
PRP45,YAL032C,Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene,[],Verified ORF,S000000030,reverse complement,1,84474,83335,84494,83204
POP5,YAL033W,"Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs",[],Verified ORF,S000000031,[],1,82706,83227,82701,83299
FUN19,YAL034C,"Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication",[],Verified ORF,S000002134,reverse complement,1,81951,80710,82585,80608
FUN12,YAL035W,Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2,[],Verified ORF,S000000033,[],1,76427,79435,76401,79561
RBG1,YAL036C,"Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid",[],Verified ORF,S000000034,reverse complement,1,76152,75043,76184,74965
YAL037W,YAL037W,"Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication",[],Uncharacterized ORF,S000000035,[],1,74020,74823,73453,76400
CDC19,YAL038W,"Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication",[],Verified ORF,S000000036,[],1,71786,73288,71759,73452
CYC3,YAL039C,"Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant",[],Verified ORF,S000000037,reverse complement,1,69525,68716,69581,68649
CLN3,YAL040C,"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1",[],Verified ORF,S000000038,reverse complement,1,67520,65778,67844,65601
CDC24,YAL041W,"Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42",[],Verified ORF,S000000039,[],1,62840,65404,62776,65463
ERV46,YAL042W,Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport,[],Verified ORF,S000000040,[],1,61316,62563,61294,62654
PTA1,YAL043C,"Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII",[],Verified ORF,S000000041,reverse complement,1,61052,58695,61072,58619
GCV3,YAL044C,"H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF",[],Verified ORF,S000000042,reverse complement,1,58462,57950,58471,57868
YAL045C,YAL045C,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A",[],Dubious ORF,S000000043,reverse complement,1,57796,57488,,
BOL3,YAL046C,"Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)",[],Verified ORF,S000000044,reverse complement,1,57385,57029,57415,56907
SPC72,YAL047C,"Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB, connecting nuclear microtubules to the SPB; involved in astral microtubule formation, stabilization, and with Stu2p, anchoring astral MTs at the cytoplasmic face of the SPB, and regulating plus-end MT dynamics; regulated by Cdc5 kinase",[],Verified ORF,S000000045,reverse complement,1,56857,54989,56886,54934
GEM1,YAL048C,"Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases",[],Verified ORF,S000000046,reverse complement,1,54789,52801,54790,51726
AIM2,YAL049C,Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor,[],Verified ORF,S000000047,reverse complement,1,52595,51855,52661,51726
OAF1,YAL051W,"Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication",[],Verified ORF,S000000048,[],1,48564,51707,48534,51787
FLC2,YAL053W,"Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication",[],Verified ORF,S000000049,[],1,45899,48250,45759,48322
ACS1,YAL054C,"Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions",[],Verified ORF,S000000050,reverse complement,1,45022,42881,45068,43548
PEX22,YAL055W,Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation,[],Verified ORF,S000000051,[],1,42177,42719,42170,42801
GPB2,YAL056W,"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication",[],Verified ORF,S000000052,[],1,39259,41901,39212,41999
CNE1,YAL058W,"Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast",[],Verified ORF,S000000054,[],1,37464,38972,37415,39163
ECM1,YAL059W,Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm,[],Verified ORF,S000000055,[],1,36509,37147,36507,37332
BDH1,YAL060W,"NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source",[],Verified ORF,S000000056,[],1,35155,36303,35107,36387
BDH2,YAL061W,Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3,[],Uncharacterized ORF,S000000057,[],1,33448,34701,33359,34917
GDH3,YAL062W,"NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication",[],Verified ORF,S000000058,[],1,31567,32940,31529,33015
FLO9,YAL063C,Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation,[],Verified ORF,S000000059,reverse complement,1,27968,24000,,
YAL064W,YAL064W,"Protein of unknown function; may interact with ribosomes, based on co-purification experiments",[],Verified ORF,S000000060,[],1,21566,21850,,
YAL065C,YAL065C,Putative protein of unknown function; shows sequence similarity to FLO1 and other flocculins,[],Uncharacterized ORF,S000001817,reverse complement,1,11951,11565,,
YAL066W,YAL066W,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",[],Dubious ORF,S000000061,[],1,10091,10399,,
SEO1,YAL067C,Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide,[],Verified ORF,S000000062,reverse complement,1,9016,7235,9260,7276
PAU8,YAL068C,Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions,[],Verified ORF,S000002142,reverse complement,1,2169,1807,,
YAL069W,YAL069W,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",[],Dubious ORF,S000002143,[],1,335,649,,
NUP60,YAR002W,FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153,[],Verified ORF,S000000063,[],1,152257,153876,152215,153970
SWD1,YAR003W,Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7,[],Verified ORF,S000000064,[],1,155005,156285,154920,156780
RFA1,YAR007C,"Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia",[],Verified ORF,S000000065,reverse complement,1,158619,156754,158682,156681
SEN34,YAR008W,"Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease",[],Verified ORF,S000000066,[],1,158966,159793,158872,159890
YAR009C,YAR009C,"Retrotransposon TYA Gag and TYB Pol genes; Gag processing produces capsid proteins, Pol is cleaved to produce protease, reverse transcriptase and integrase activities; in YARCTy1-1 TYB is mutant and probably non-functional; protein product forms cytoplasmic foci upon DNA replication stress",[], transposable element gene,S000000067,reverse complement,1,164187,160597,,
YAR010C,YAR010C,Retrotransposon TYA Gag gene co-transcribed with TYB Pol; Gag processing produces capsid proteins; in YARCTy1-1 TYB is mutant and probably non-functional,[], transposable element gene,S000000068,reverse complement,1,165866,164544,,
BUD14,YAR014C,"Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; forms a complex with Kel1p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly, cytokinesis, and polarized growth; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress",[],Verified ORF,S000000069,reverse complement,1,168871,166742,169021,166565
ADE1,YAR015W,N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress,[],Verified ORF,S000000070,[],1,169375,170295,169277,170390
KIN3,YAR018C,Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol,[],Verified ORF,S000000071,reverse complement,1,171703,170396,171719,170285
CDC15,YAR019C,Protein kinase of the Mitotic Exit Network; localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II; relocalizes to the cytoplasm upon DNA replication stress,[],Verified ORF,S000000072,reverse complement,1,175135,172211,175181,172165
PAU7,YAR020C,"Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme",[],Verified ORF,S000000073,reverse complement,1,177023,176856,,
YAR023C,YAR023C,Putative integral membrane protein; member of DUP240 gene family,[],Uncharacterized ORF,S000000074,reverse complement,1,179820,179281,180697,179245
UIP3,YAR027W,Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family,[],Verified ORF,S000000075,[],1,183770,184477,183671,184655
YAR028W,YAR028W,Putative integral membrane protein; member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS,[],Uncharacterized ORF,S000000076,[],1,184892,185596,184848,185794
YAR029W,YAR029W,Member of DUP240 gene family but contains no transmembrane domains; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern,[],Uncharacterized ORF,S000000077,[],1,186321,186545,184853,186786
YAR030C,YAR030C,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAR029W and the verified gene PRM9",[],Dubious ORF,S000001821,reverse complement,1,186853,186512,,
PRM9,YAR031W,"Pheromone-regulated protein; contains 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; member of DUP240 gene family; PRM9 has a paralog, PRM8, that arose from a segmental duplication",[],Verified ORF,S000000078,[],1,186836,187732,,
MST28,YAR033W,"Putative integral membrane protein, involved in vesicle formation; forms complex with Mst27p; member of DUP240 gene family; binds COPI and COPII vesicles; MST28 has a paralog, MST27, that arose from a segmental duplication",[],Verified ORF,S000000079,[],1,188107,188811,188051,188904
YAT1,YAR035W,Outer mitochondrial carnitine acetyltransferase; minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated,[],Verified ORF,S000000080,[],1,190193,192256,190149,192360
SWH1,YAR042W,"Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats and FFAT motif; interacts with ER anchor Scs2p at the nucleus-vacuole junction; regulated by sterol binding; SWH1 has a paralog, OSH2, that arose from the whole genome duplication",[],Verified ORF,S000000081,[],1,192619,196185,192583,196349
[],[],[],[],[],[],[],,,,,
YAR047C,YAR047C,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",[],Dubious ORF,S000000083,reverse complement,1,201787,201467,,
FLO1,YAR050W,"Lectin-like protein involved in flocculation; cell wall protein that binds mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; important for co-flocculation with other yeasts, mediating interaction with specific species; FLO1 has a paralog, FLO5, that arose from a segmental duplication",[],Verified ORF,S000000084,[],1,203403,208016,,
YAR053W,YAR053W,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",[],Dubious ORF,S000000085,[],1,208367,208663,,
YAR060C,YAR060C,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; YAR060C has a paralog, YHR212C, that arose from a segmental duplication",[],Dubious ORF,S000000086,reverse complement,1,217492,217157,,
YAR061W,YAR061W,"Pseudogenic fragment with similarity to flocculins; YAR061W has a paralog, YHR212W-A, that arose from a segmental duplication",[], pseudogene,S000000087,[],1,218140,218343,,
YAR062W,YAR062W,"Pseudogenic fragment with similarity to flocculins; YAR062W has been merged into YAR061W; this region has a paralog, YHR213W, that arose from a segmental duplication",[], pseudogene,S000000088,[],1,218549,219145,,
YAR064W,YAR064W,"Pseudogenic fragment with similarity to flocculins; YAR064W has a paralog, YHR213W-B, that arose from a segmental duplication",[],Uncharacterized ORF,S000000089,[],1,220198,220497,,
YAR066W,YAR066W,"Putative GPI protein; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively; YAR066W has a paralog, YHR214W, that arose from a segmental duplication",[],Uncharacterized ORF,S000002144,[],1,221049,221660,,
YAR068W,YAR068W,"Fungal-specific protein of unknown function; induced in respiratory-deficient cells; YAR068W has a paralog, YHR214W-A, that arose from a segmental duplication",[],Uncharacterized ORF,S000000091,[],1,222406,222891,,
YAR069C,YAR069C,"Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; YAR069C has a paralog, YHR214C-D, that arose from a segmental duplication",[],Dubious ORF,S000000092,reverse complement,1,224304,224011,,
YAR070C,YAR070C,"Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; YAR070C has a paralog, YHR214C-B, that arose from a segmental duplication",[],Dubious ORF,S000000093,reverse complement,1,224862,224563,,
PHO11,YAR071W,"One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication",[],Verified ORF,S000000094,[],1,225460,226863,,
IMD1,YAR073W,"Nonfunctional protein with homology to IMP dehydrogenase; blocked reading frame, located close to the telomere; not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in most strains of S. cerevisiae; YAR073W/YAR075W together have a paralog, IMD2, that arose from a segmental duplication",[],Dubious ORF,S000000095,[],1,227742,228953,,
YAR075W,YAR075W,"Non-functional protein with homology IMP dehydrogenase; YAR073W/IMD1 and YAR075W comprise a continuous reading frame in most strains of S. cerevisiae; YAR073W/YAR075W together have a paralog, IMD2, that arose from a segmental duplication",[],Dubious ORF,S000002145,[],1,228844,229317,,
ECM15,YBL001C,"Non-essential protein of unknown function; likely exists as tetramer, may be regulated by the binding of small-molecule ligands (possibly sulfate ions), may have a role in yeast cell-wall biogenesis",[],Verified ORF,S000000097,reverse complement,2,237467,237153,237478,237078
HTB2,YBL002W,"Histone H2B; core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB1; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates reassembly after DNA replication, transcriptional activation, meiotic DSB formation and H3 methylation",[],Verified ORF,S000000098,[],2,236492,236887,236469,237079
